Version,Title,glottocode,Year,rhotics,transcription_phon,quality_trans,quality_ling_trans,new_symbols_narr,new_symbol_comment,phoneme,phonetic,phonemic,tap_pt,tap_pm,total_rhotics,Obs_REVIEW,r_present_in_ortho,orthography_comments,observations,obs2
N,Standard Austrian German,uppe1398,2015,alveolar trill r ɹ & voiced uvular trill ʁ ʀ,ʁ ʀ,Transcription of the NWATS,unknown,yes,presence of voiced uvular frivative,r & ʀ,0,NA,0,NA,7,I count 7 but it might be more since i look for r based consonants and not vowels,1,normal usage of r,A speaker-specific representation has to be assumed regarding the trill. The chart lists both the uvular trill and the alveolar trill. Most speakers make use of a uvular production (either trill or fricative). However_ for those speakers who exclusively apply an alveolar production (either trill or approximant)_ /r/ has to be assumed.,so just one r-like sound per speaker
N,Standard Chinese (Beijing),beij1234,2003,voiced postalveolar approximant apical & voiceless palatal fricative,ɹ̺ ɹ̩ ɕ,Transcription of recorded passage & Orthographic version,unknown,yes,presence of postalveolar voiced fricative symbol with the diacritic,ɹ̺  & ɕ,0,NA,0,NA,0,,NA,chinese writting so cannot say,[ɹ̺]_ an apical post-alveolar approximant_ in this study was transcribed as [ʐ]_ represent- ing a voiced apical pre-palatal fricative in Karlgren (1915–1926) and as [ɹ]_ representing a retroflex approximant in Chao (1968).,[ɹ̩]_ a syllabic apico-laminal or laminal denti-alveolar approximant when following [s_ ts_ tsʰ]_ in this study was transcribed as []_ representing an apical alveolar vowel in Karlgren (1915–1926) and as [z̩]_ representing a syllabic voiced dental fricative in Chao (1968).
N,Standard Georgian,nucl1302,2006,voiced tap/trill alveolar,ɾ r,"Orthographic version & Phonemic transcription
& Phonetic transcription",both,,,ɾ/r,10,9,23,30,39,more trills in the phonetic than in the phonological one… But no trills in the audio..,NA,georgian writing so cannot say,Although it has been claimed that the Georgian /r/ may be ‘rolled’_ this does not seem to be the case for the present speaker (Hewitt 2005: 5). In our tokens_ the average closure duration for an intervocalic /r/ is quite short_ on the order of 20 ms_ and there is little evidence for sustained trilling in the audio signal. While the two brief reductions in oral flow observed in figure 5 may be indicative of a two-strike trill_ it is probably safe to say that taps_ not multiple-strikes_ are the pronunciation norm in Standard Georgian.,deletion of rhotics_ e.g. /tʃɾdilɔɛtis/ ‘north. GEN ’ → [tʂtʰiloɛtʰis].
N,Standard Malay (Brunei),saba1263,2011,voiced alveolar trill,ɾ ɾ̩ r ,"Orthographic version & Phonemic transcription
& Phonetic transcription",both,,,r,6,28,22,0,28,,1,normal usage of r,/r/ has both trill [r] and tap [ɾ] realisations. In the recording_ [r] occurs word-initially in rapat [rapat]_ and in codas in sinarnya [sinarna] ‘its light’ and at the end of bertengkar [bɾ̩t enkhar] ‘fight’_ while [ɾ] occurs intervocalically in matahari [matahaɾi] ‘sun’ and as a syllable nucleus in tersebut [tɾ̩sbut] ‘aforesaid’. It is possible that the trill and tap are in free variation_ with [r] tending to occur in more emphatic pronunciations.,maybe they should have used the label tap ?
N,Standard Yiddish,yidd1255,2003,Trill-flap-tap alveolar (trill) & Trill-flap-tap alveolar (tap) & trill-flap-tap glottal,ɾ,Transcription of recorded passage & Orthographic version,unknown,yes,presence of voiceless diacritic,r& ɾ & ʀ,0,NA,45,NA,45,,NA,yiddish writting so cannot say,In ‘Standard Yiddish’ [r/ɾ] and [ʀ] are admissible variants of one phoneme according to speakers’ preferences_ habitually occurring only with a single contact of the articulator at the place of articulation.,problem with the velar fricative : use of symbol of uvular_ same with the glottal trill_ use of the uvular symbol
N,Sumi (Sema),sumi1235,2012,voiced approximant alveolar ɹ r,no,"Phonemic transcription
& Orthographic transcription",phonemic,,,ɹ,NA,0,NA,0,0,there are no r in the narrative,1,normal usage of r,The status of its coronal rhotic (the voiced alveolar approximant) is only marginal_ in contrast to neighbouring languages such as Angami (Tenyidie) and Ao_ which typically include both a voiced and a voiceless (or aspirated) coronal rhotic.,The alveolar approximant /ɹ/ is a marginal phoneme in the language_ which Sreedhar (1976_ 1980) does not include in the phonemic inventory in his analysis. While it seems to occur only in borrowed words_ its inclusion here is motivated by the fact that speakers are able to consistently place the pitch on words like murasü /m uɹ Ÿ aʃÆ / [mu˩ ɹa˥ sɨ˥] ~ [m̩ ˩ ɹa˥ sɨ˥] ‘snow’/‘hail’ into tonal categories_ suggesting that these words have been more ‘nativised’ than other loanwords. It has two allophones: the alveolar approximant [ɹ]_ which occurs in as in murasü; and the alveolar trill [r]_ which occurs in syllable-final position_ e.g. khurshi /k h urʃ ı/ Ÿ [k ur˩ ʃi˩] ‘horse’. 
N,Tamambo,malo1243,2005,voiced aleolar trill,r,Phonemic transcription & Detailed phonetic transcription & Orthographic version,both,,,r,19,19,0,0,19,,1,normal usage of r,The alveolar trill is pronounced as a robust trill in all positions by most speakers. On occasion_ however_ some speakers articulate a tap_ both initially and medially.,
N,Tamil,madr1237,2004,voiced alveolar tap & voiced retroflex approximant & voiced labiodental approximant, ɾ ɻ ʋ,Transcription of recorded passage & Orthographic version,unknown,yes,presence of different allophones for plosive dental, ɾ &  ɻ & ʋ,0,NA,15,NA,15,I did not include the retroflex,1,we consider there is a r is we count the transliteration provided,Rhotic liquids_ in contrast_ are the only category of sounds in Tamil that do not undergo gemination. The orthography distinguishes between two_ and : each is subject to certain distributional restrictions_ but in intervocalic position they may mark a lexical contrast. Opinion is divided over whether this corresponds to a phonetic distinction in colloquial Tamil: Balasubramanian (1982a) argues that always corresponds phonetically to a tap_ whilst [ɾ] and [r] are both possible realizations of _ their distribution being determined in part by environment. Narayanan_ Byrd and Kaun (1999) report a slight difference in place_ rather than manner_ of articulation_ with pre-alveolar and post- alveolar. In most colloquial varieties_ however_ it seems that a merger is in progress_ if not complete.,A further liquid_ orthographically _ exists in many varieties of Tamil although production of the distinctive sound is sometimes restricted to formal speech. One possible substitute is [ɭ]_ to which it is acoustically very similar. Claims about its articulatory properties have been many and various_ but two extensive recent studies_ employing a range of experimental methods_ have concluded that it is best described as a central retroflex approximant [ɻ] (McDonough & Johnson 1997 and Narayanan et al. 1999). The anterior tongue body is said to be curved up towards the central palatal region_ with lateral contact between the sides of the mid-tongue and the palate.
N,Tashlhiyt Berber,tach1250,2014,tap plain dental & tap pharyngealized dental & fricative voiced and voiceless uvular plain & fricative voiced and voiceless uvular labialised,r(ɾ)  ʁ,Phonemic transcription of the recorded passage & Semi-narrow transcription of the recorded passage,both,,,r & rˤ & χ & ʁ & χʷ & ʁʷ,18,18,0,0,18,,NA,no orthography given ,/r/ is often produced as a tap [ɾ] with a single contact between the tongue and the alveolar ridge. Its geminate counterpart is always produced as a trill [rː]. The taps of the alveolar trill are almost always accompanied by short_ central vocoids (Coleman 2001).,
N,Tausug (Suluk),taus1251,2012,voiced flap alveolar ,ɾ,Phonetic transcription of recorded passage,phonetic,,,r,0,NA,12,NA,12,I counted from the taps in the narrative but i do not know if there are allophone of the d or not,1,normal usage of r,The [r]-sound is realized as a flap when it occurs as an allophone of /d/. This phenomenon occurs in the intervocalic position both within single words and across word boundaries. For example_ the word ud ‘worm’ becomes [ˈurun] ‘to become infested with worms’. The word dayaw ‘goodness’ becomes [maˈrayaw] ‘to have the quality of goodness’. The phrase duwa di duwa duun ‘two here two there’ becomes [ˈduwa ri ˈruwa ˈruʔun].,When [r] occurs as a phoneme_ not as an allophone of /d/_ it is manifested as a flap. There is also some free variation between the [r] and the alveolar lateral approximant [l] (e.g. parman [ˈparman]  [ˈpalman] ‘word’_ sarta [ˈsar taʔ] ~ [ˈsal taʔ] ‘simultaneously’_  ~sarsila [sarˈsila]  [salˈsila] ‘genealogy’). The alveolar flap [r] is more commonly used by urban speakers of Tausug. The alveolar lateral approximant [l] is more commonly used by the village speakers of Tausug. The phoneme /r/ has marginal phonemic status and would not be included here as a phoneme except that it also occurs in a few loan words from Malay (e.g. murid [ˈmurid] ‘pupil_ follower’_ kapir [ˈkapir] ‘infidel or unbeliever’).
N,Telugu,telu1262,2017,voiced aleolar trill & voiced approximant labiodental,r(ɾ)   ʋ,Phonemic transcription & Orthographic rendering,phonemic,,,r & ʋ,NA,25,NA,0,25,,NA,telugu writing so cannot say,/r/ has two allophones_ tap [ɾ] in intervocalic position and trill [r] elsewhere e.g. [peːɾu] ‘name’_ [reːpu] ‘tomorrow’_ [kɑrrɐ] ‘stick’.,The phonetic realizations of /ʋ/ are [ʋ] and [w]_ which freely vary in many contexts. However_ [w] is the preferred realization when it is adjacent to a rounded vowel. It should be pointed out that this allophone_ [w]_ may not possess the velar approximation to qualify to be an archetypical ‘labial-velar approximant’ but may be rendered as [B̞ ] _ a ‘voiced bilabial approximant’. /ʋ/ is realized as [ʋ̃ ] when it is preceded by the allophone [ʋ̃ ] of /m/_ e.g. /sɐmʋɐtsɐrɐm/ > [sɑʋ̃ ʋ ̃ ɑ tsɑɾɐʋ̃ ] ‘year’. Similarly_ /j/ is realized as [j̃ ] when preceded by the allophone [j̃ ] of /m/_ e.g. /sɐmjoːɡɐm/ > [sɐj̃ j ̃ ɔːɡɐʋ̃ ] ‘combination’.
N,Temne,west2452,2010,voiced trill alveolar ,r,Orthographic version & Broad transcription,phonemic,,,r,NA,21,NA,0,21,,1,normal usage of r,Wilson (2007) finds the sounds /d/ and /r/ to be in complementary distribution and_ in some cases_ in free variation. As indicated by Wilson (2007)_ groups of speakers vary their choice of /d/ or /r/ in stem-initial position (e.g. /di/ and /ri/ meaning ‘there’). However_ there are environments in our data where this variation is not allowed. For example_ the verb ‘to eat’ can only be produced as /dı Ÿ / and never as /ri/; Speaker 1 uses /di/ for both ‘to eat’ and ‘there’. The following minimal pair also would seem to indicate that these are indeed separate phonemes: dada ‘uncombed hair’ and dara ‘palm nut stalk’.,Might be a tap instead of a trill
N,Tena Quichua,tena1240,2013,dental/alveolar tap,ɾ r,Semi-narrow phonetic transcription,phonetic,,,ɾ,4,NA,30,NA,35,there is on aproximant,NA,no orthography given because it is an oral dialect (with exception of the bible),The tap /ɾ/ is realized in general as a vibrant with a single occlusion. In the present set of recordings_ in addition to a simple tap_ a trilled variant [r] was observed word-initially (e.g. /ˈɾuna/ [ˈɾuna]_ compare [ˈruna] ‘person’). Note that both cases are realized with a prothetic vowel; see Figure 13. The presence of a rhotic trill may be due in part to influence from the multiple trilled variant in Spanish_ especially in more careful speech styles_ such as in reading. In addition_ the rhotic may be naturally strengthened to a trill at the onset of a stressed syllable. There appears to be a degree of variation in this aspect since both the simple tap and trill are found after a pause_ such that the trill is not obligatory in this context. Also_ a retroflex approximant [ɹ] was found (e.g. [tʃuɹa-ˈɾi-ʃka] ‘put- REFL - PAST . PART ’; Figure 14). In some cases_ although transcribed as a tap_ the actual realization was longer than a prototypical tap and/or was between a tap and an approximant.,
N,Tera,tera1251,2007,voiced aleolar trill,r,Transcription & Orthographic version,unknown,no,,r,15,NA,0,NA,15,,1,normal usage of r,might be a tap ?,
N,The Belgian Limburg dialect of Hamont,brab1243,2007,voiced uvular trill ʀ ʀ̥ χ,ʀ ʀ̥,Phonetic transcription of recorded passage & Standard Belgian Dutch orthographic version,phonetic,,,ʀ,1,NA,0,NA,24,don’t know why there is a r in the transcription,1,normal usage of r,The voiced trill is typically uvular with a clear transitional aspect of articulation (Laver 1994). The devoiced uvular trill in word-final position is realised as a uvular fricative either with or without a transitional aspect.,
N,The dialect of Hasselt,antw1238,2006,voiced aleolar trill,r,Transcription [] & Orthographic version ,phonetic,,,r,32,NA,0,NA,32,,1,normal usage of r,The dialect has free variation between an alveolar and a uvular trill. Intervocalically_ /r/ is sometimes realized as a tap.,
N,The Flemish-Brabant dialect of Orsmaal-Gussenhoven,oost1241,2010,voiced alveolar trill ɾ    r̝    ɹ̝    ɾɹ̝   ,r   r̝  ɹ̝   ɾ,"Broad transcription & Narrow transcription
& Standard Dutch orthographic version (adjusted to the dialectal version)",both,,,r,21,32,8,0,32,there is a r with a lowered diacritic and one of the tap is tapapp,1,normal usage of r,/r/ before a stressed vowel in word-initial syllables is an apicoalveolar trill or fricative. Intervocalic /r/ and /r/ in the onset after a consonant may be reduced to [ɾ]. Word-final /r/ is highly variable both within and between speakers. The most frequent variants are the apicoalveolar fricative trill [r̝]_ the apicoalveolar fricative [ɹ̝]_ and an apicoalveolar affricate [ɾɹ̝ ]; the last two variants tend to become voiceless in pre-pausal position (cf. Whitley 2003).,
N,The sound pattern of Standard Italian_ as compared with the varieties spoken in Florence_ Milan and Rome,fior1235,2005,voiced alveolar trill,r,SI & SI-allegro style & FI & RI & MI & Orthographic version,phonetic,,,r,37,NA,0,NA,37,I counted fast (without recheck) 39/38/36/34/37so the mean is 37_ in 4 of the 5 there is an r gemintated_ for the acoustic I counted 12 but i do not remember for how many texts (I think i did not did the allegro style so i divide by 4 instead of 5),1,one and two r are possible,Besides [r]_ which is the unmarked allophone of the rhotic phoneme_ individual variants may be encountered (uvular_ alveolar or labio-dental approximant; uvular trill). In intervocalic position_ non-geminated [r] may often reduce in spontaneous speech to a single linguo-palatal contact; however_ after pause or before a consonant_ there is usually a double contact.,tap ?
N,Tilquiapan Zapotec,tilq1235,2008,voiced flap alveolar ɾ r  ɹ,ɾ r,Transcription & Orthographic version,unknown,yes,presence of a alveolar trill symbol,ɾ,4,NA,43,NA,47,,1,one and two r are possible,When two instances of /ɾ/ occur at morpheme boundaries (such as r-ree ‘habitual-go out’)_ the resultant pronunciation is a trill as in Spanish. When /ɾ/ occurs before any other consonant_ it is pronounced as an approximant_ like the [ɹ] in English.,
N,Tyneside English,nort3300,2003,voiced approximant alveolar,ʋ  ɹ̥  ɹ,Broad (phonemic) transcription & Narrow transcription,both,,,ɹ,0,0,0,0,10,,1,normal usage of r (but double can r can exist),The informant is somewhat atypical for a TE speaker in that rather than using [ɹ] in red_ wrapped_ etc._ she uses [ʋ]_ and at times even a quality close to [w]. Use of [ʋ] appears to be on the increase among young Tyneside women_ but is only very rarely used by older or male TE speakers. It can thus almost certainly be regarded as an incipient sound change in the variety_ since it has been shown to be a recently-adopted innovation in other urban accents of northern England (Williams & Kerswill 1999_ Foulkes & Docherty 2000). TE is a non-rhotic accent of English_ meaning that [ɹ] is not realised in post-vocalic positions (e.g. cart_ doctor) unless it is followed by a vowel_ as in very_ Murray_ colour is_ etc. So-called ‘intrusive’ [ɹ]_ as in comma in_ is used by the informant where a word-boundary intervenes_ but is generally absent in more traditional TE_ in which [ʔ] is frequently inserted in these contexts (see Foulkes 1998). Indeed_ insertion of [ɹ] to ‘break up’ any V = V juxtaposition across a word boundary (not just those which trigger intrusive [ɹ] in other non-rhotic British accents) is characteristic of TE.,
N,Ukrainian,sout2604,2017,voiced plain dental/alveolar trill & voiced palatalised dental/alveolar trill  ɾʲ  & voiced plain labiodental approximant & voiced palatalised dental/alveolar approximant ʋʲ ʋ w w̥ u̯,r rʲ u̯ ʋʲ ʋ,Narrow transcription & Broad phonemic transcription & Orthographic version & Orthographic version transliterated,both,,,r &rʲ  &   &ʋʲ,21,21,0,0,21,count of plain and palatalized trill,1,cyrilic writting but there is a transliteration,Furthermore_ the palatalized counterpart of the trill [r] is frequently realized as [ɾ]_ which is most probably due to the fact that trilling and palatalization are far more complex and effortful than the production of a palatalized flap,The approximant /ʋ/ is realized in different ways due to co-articulatory effects: it surfaces as labiodental [ʋ ʋʲ] when preceding the front vowels [I i] or labiovelar [w] when preceding the rounded back vowels [u ɔ]. In the syllable-final position this approximant is realized as [u̯ ] . Buk et al. (2008) also note that /ʋ/ can be realized as a devoiced labio-velar approximant [w̥ ] before voiceless consonants (but not after a vowel)_ e.g. vperše [w̥ p ɛrʃɛ] ‘for the first time’.
N,Upper Saxon (Chemnitz dialect),uppe1465,2013,voiced approximant uvular & voiceless fricative uvular ʁ̞ ʁ ʁ̥ ʀ q & voiced approximant labiodental,χ ʋ ʁ̞,Broad transcription & Orthographic version (Standard German),phonemic,,,ʁ̞ & χ & ʋ,NA,0,NA,0,42,count based on the orthogrpahy,1,normal usage of r,As in Standard German (Kohler 1999: 87–88)_ the rhotic /ʁ̞ / occurs only in onsets. In Upper Saxon_ it freely varies between a voiced approximant [ʁ̞ ] _ a voiced fricative [ʁ]_ a devoiced fricative [ʁ̥ ] or trill [ʀ̥ ] _ and a voiceless unaspirated uvular stop [q]_ e.g. /ʁ̞ ɞ k/ [ʀ̥ ɔ kh] Rock ‘skirt’_ /ʁ̞ ɵ m/ [ʁ̞ ɵ ̠ m ][ʁ̥ ɵ ̠ m ] Rum ‘rum’_ and /ʁ̞ a ɵ̯ / [ʁ̥ a ɵ̯ ] [qaɵ̯ ] rau ‘rough’. What was historically its coda counterpart only surfaces in Upper Saxon as pharyngealization on the preceding vowel_ e.g. /ˈmaˁːʁ̞ əʁ̞ ə ˈlɞʏ̯ t ə/ mehrere Leute ‘more people’ vs. /ɪʃ keː nɪʃ maˁː tsʉː ˈʃʉːlə/ ich gehe nicht mehr zu Schule ‘I don’t go to school anymore’; in other German varieties known to exhibit pharyngealization_ such as Swabian_ the coda rhotic is treated as either a pharyngeal approximant [ʕ̞ ] or pharyngealization on the preceding vowel [ˁ] (Frey 1975: 15–16; Hiller 1995: 35; Rues et al. 2007: 95–98)_ but consistently as a surface realization of an underlying consonant /ʁ̞ /. See section ‘Vowels and diphthongs’ below for details of pharyngealization.,
N,Upper Sorbian,uppe1395,2017,voiced uvular trill hard & voiced uvular trill soft  ʀ ʀʲ  ʁ  χ  ʀj,ʁ ʋ ʁ̥ ʁʲ,Orthographic transcription &Semi-narrow transcription,phonetic,,,ʀ & ʀʲ,0,NA,0,NA,24,count based on the orthogrpahy,1,one r and also the r with the diactritic on top ř,The uvular trill /ʀ/ (Figure 2) does have a phonemically contrastive palatalized counterpart /ʀʲ/ (Figure 3). Where /ʀ/ and /ʀʲ/ are realized as a trill_ they both typically have 1–2 contacts between the tongue and the uvula. However_ both are often produced as an approximant [ʁ] (e.g. rat [ʁat] ‘good’) and [ʀʲ] (e.g. rjadka [ʁ j atka] ‘line_ verse’). /ʀ/ is also frequently realized as either a voiced or a voiceless uvular fricative_ [ʁ] (e.g. rat [ʁat] ‘gladly’) and [χ] (e.g. rat [χat] ‘gladly’)_ respectively. Jocz (2013) notes that /ʀ/ and /ʀʲ/ are more likely to be realized as a trill in clear and careful pronunciation. The rhotic is also occasionally dropped from speech completely_ leaving only the glide (e.g. rjadka [jatka] ‘line_ verse’). The phonemic status of /ʀʲ/_ however_ is somewhat contentious among Sorbian linguists; it has been described as a phonemically palatalized uvular trill by some researchers (Šewc 1984)_ while others have stated that it has undergone depalatalization and is now biphonemic_ /ʀj/ (Wornar 2007_ Jocz 2013),The phoneme /x/ is often realized as a voiceless trill with noticeable frication_ which typically has 2–3 contacts between the tongue and the uvula (e.g. brach [bʁaʀ̝̊ ] ‘fault_ defect’).
N,Vietnamese (Hanoi Vietnamese),nort2683,2011,voiced frivative alveolar,z,Transcription of recorded passage & Orthographic version,unknown,yes,presence of velar fronting diacritic,z,0,NA,0,NA,7,7 if based on the r orthography and 12 if we count the z in the transcriptuon,1,normal usage of r,not very transparent \\ need to be compared with the south phonology \\ importance of the writting to decide what is the rhotic sound ?,
N,Xumi (part 1): Lower Xumi_ the variety of the lower and middle reaches of the Shuiluo river,shix1238,2013,voiced approximant alveolar & voiced and voiceless alveopalatal fricative & voiced uvular fricative,χ ɹ̩ ʁ ɹ,Semi-narrow phonetic transcription,phonetic,,,ɹ & ɕ & ʑ & ʁ,0,NA,0,NA,17,just counting the approximants,NA,no orthography given ,/ɹ/ have a broad distribution \\ /ɹ/ is also found as a rhyme_ i.e. /ɹ̩ / \\ /qʰ/ → [χ],
N,Xumi (part 2): Upper Xumi_ the variety of the upper reaches of the Shuiluo river,naic1235,2013,voiced approximant alveolar & voiced and voiceless alveopalatal fricative & voiced uvular fricative & (voiceless uvular fricative),χ ɹ̩ ʁ ɹ,Semi-narrow phonetic transcription,phonetic,,,ɹ & ɕ & ʑ & ʁ & χ,0,NA,0,NA,17,just counting the approximants,NA,no orthography given ,Also unlike Lower Xumi_ Upper Xumi does not have a voiced velar fricative_ but it has the voiceless uvular fricative /χ/ as an independent phoneme,
N,Yine,yine1238,2008,voiced tap alveolar,ɾ,Transcription of the recorded text & Version in practical alphabet,unknown,no,,ɾ,0,NA,15,NA,15,,1,normal usage of r,,
N,Zurich German,zuri1239,2006,voiced labiodental approximant & voiced alveolar trill  ɾʀ ʁ ʁ̥ ʁ̞,ʋ r χ ʁ̥,Narrow transcription of recorded passage & Broad transcription of recorded passage & Orthographic version,both,,,r,19,21,0,0,21,,1,normal usage of r,The uvular fricatives [χ] and [ʁ̥] appear as free variants of /x/ and /ɣ̊/_ and there are several allophones of the phoneme /r/ – such as the alveolar tap [ɾ] and_ more frequently_ the uvular variants [ʀ]_ [ʁ]_ [ʁ̥] or [ʁ̞],
N,Argentine Spanish,amer1254,2018,voiced alveolar tap & voiced alveolar trill r (ʑ),ɾ r,Broad (phonemic) transcription & Semi-narrow (allophonic) transcription & Orthographic version,both,,,ɾ & r,3,3,31,31,34,,1,one r (depending on the word position can be a phonemic trill or a phonemic tap) and two r for the phonemic trill,The main phonetic difference between the accents of the two above-mentioned Northern regions and the accent described here is the assibilation and fricativization of the phoneme /r/ (Colantoni 2006). In those areas_ that phoneme is typically pronounced as a voiced alveolo- palatal fricative [ʑ].,
N,Asturian,astu1246,2018,voiced alveolar tap & voiced alveolar trill,ɾ r,"Orthographic version
& Transcription",unknown,yes,presence of approximants for the plosive set and diacritics,ɾ & r,2,NA,30,NA,33,there is one approximant,1,one r (depending on the word position can be a phonemic trill or a phonemic tap) and two r for the phonemic trill,Particular attention should be given to the pronunciation of the /ɡ/ because in Asturian it encompasses a wide range from the stop [ɡ] to the uvular fricative [ʁ]_ passing through approximant [ɣ̞ ] . This variation may be due to the fact that_ by contrast to Spanish_ voiceless velar friction was absent in Asturian and there was no opposition with other approximant or fricative sounds articulated in the velar or post-velar area. Given the ample margin for pronunciation without confusion with other sounds and an imprecise pronunciation characteristic of the velar_ voiced_ or even voiceless sounds_ uvular fricative pronunciations are frequently encountered (Muñiz-Cachón 2002).,A recent addition to Asturian is a voiceless dorsal fricative_ the place of articulation of which is between that of the velar [x] and the uvular [χ]; here it is transcribed as velar [x]. Though it is currently used in very few words_ it is becoming increasingly more common due to the influence of Castilian Spanish (Garcı́a-Arias 2003: 29).
N,Central Lisu,hual1240,2019,Voiced alveolar fricative z & Voiced retroflex fricative ʐ ɻ & voiceless (alveo-)palatal fricative,ɻ z z̩ ʐ̩   ,Transcription of recorded passage,unknown,yes,presence of ‘fricative vowel’,z & ʐ & ɕ,0,NA,0,NA,3,,1,fraser orthography small capital r ,Fraser orthography: ɾ for /f/ ᴚ for /z/ and ʀ for /ʐ/ but /ɕ/ labelled as xʏ \\ Finally_ we use the symbol [z̩ ] to represent the weakly fricative high central vowel which follows the alveolar affricates and fricatives_ and we use [ʐ̩ ] to represent the slightly stronger fricative high central vowel which follows the retroflex affricates and fricatives. Note_ however_ that Chinese linguistic tradition represents these sounds with the symbols [ɿ] for the fricative vowel which follows alveolar consonants_ and [ʅ] for the fricative vowel which follows retroflex consonants (Handel 2016). The fricative vowels are represented in the orthography – the [z̩ ] is written with ‘I’ and the [ʐ̩ ] is written with inverted ‘U’. Thus_ as already mentioned above_ the orthography is suggesting that [z̩ ] ~ [ɿ] is an allophone of /i/ and [ʐ̩ ] ~ [ʅ] is an allophone of /y/; however_ some dialects have alveolar affricates /ts ts h dz/ and fricatives /s z/ before [i] /i/_ contrasting with [z̩ ] /-i/ after these same initials.,[f] which can be treated as an allophone of the glottal stop before /u/. There are also two phonemic voiced fricatives: retroflex /ʐ/ and velar /ɣ/. However_ retroflex /ʐ/ is often produced without friction_ rendering it much more similar to the rhotic [ɻ]_ as can be heard in the example word /ʐo 21 / ‘we (inclusive)’ – the first two repetitions here have some friction_ whereas the last repetition does not (on another recording we have of the speaker saying the same word_ the first repetition has friction_ and the second and third don’t). We class the sound as a fricative phonologically in Lisu because languages in the Ngwi sub-group of Tibeto-Burman (to which Lisu belongs) do not have a rhotic phoneme
N,Fataluku,fata1247,2019,voiced alveolar trill r ɾ,ɾ r,Phonetic transcription & Orthographic transcription,phonetic,,,r,6,NA,30,NA,36,count is 30 in orthogrpahy_ there are repetition in the transcription,1,normal usage of r,The phoneme /r/ is typically realized as a trill word-initially and word-finally_ as in [rat ̪a] ‘to be old’ and [maʔar] ‘person’ above_ but as a tap word-medially_ as in [haɾa] ‘light’.,should be labelled as tap
N,Hawaiian,hawa1245,2018,no,no,"Orthographic version
& Allophonic version Broader &  Allophonic version Narrower
",both,,,no,0,0,0,0,0,there are r in the WL for foreign words,1,The letter r can exist but it is sad that is can be written d or l,The letters ‹d›_ ‹r›_ and ‹l› could all three be interchanged freely. \\ Newbrand (1951: 8) claimed that /l/ alternates freely between clear and velarised pronunciations_ although it sounds relatively clear in the recordings. While more prominent on other islands (Wilson 1976: Section 4)_ the alternative realisation of /l/ as a tap [ɾ] may explain the early spelling variants ‹d› and ‹r›.,Hawaiian does not contrast [w] and [v] either (see Elbert & Pukui 1979: 12). Some authors have distinguished a third allophonic variant of [w] and [v] – i.e. a ‘soft v’ or labio-dental approximate [ʋ] (see Wilson 1976: Section 4).  \\ [r] and [ɹ] in the loanwords ?
N,Ja’a Kumiai,kumi1248,2019,voiced alveolar dental trill ɾ r r̞̥ r̞,r,"Broad phonemic transcription
& Orthographic transcription",phonemic,,,r,NA,7,NA,0,7,,1,normal usage of r,The trill surfaces with three articulations_ all of which surface in predictable contexts: a tap [ɾ]_ a trill [r]_ or with frication [r̞̥ ] . These variants may be devoiced in word-initial and word-final contexts. The trill is articulated as a tap [ɾ] intervocalically (e.g. /sa'rap/ [sa'ɾap] ‘five’) and in consonant clusters when flanked by consonants (e.g. /xprʃa/ [xpɾʃa] ‘sycamore’). Word-initially_ this sound can be produced as a partially devoiced trill [r̥ ] (e.g. /rap/ [r̥ ap] ‘pain’_ /'rʔaːk/ [r̥ ʔ aːk̙ ] ‘elderly men’). The trill can also be realized with varying degrees of frication_ voicing_ and retroflexion in word-medial rime contexts (e.g. /ku'rʔak/ [k̙ ur̞ ' ̥ ʔak̙ ] ‘elderly man’ and /ka'sark/ ‘left’ [ka'saʃk]) but varies freely with a tap articulation (e.g. /t͡ ʃ ir'kwi loi/ [t͡ ʃ Iɾ'kwi loi] ‘ant that lives in oak trees’ and /per'wi/ [pəɾ'wi] ‘dove’). Word-finally_ this sound is generally devoiced (e.g. /aɬ j 'mar/ [aɬ j 'mar] ‘to light a fire’_ /tiɲor/ [t ̪ i ɲor̞̥ ] ‘to color’). Illustration of tap_ trill_ and fricative variants of /r/ can be seen in Figure 12.,
N,Japhug,japh1234,2019,voiced retroflex rhotic  ɽ͡ʐ  ʐ & voiced and voiceless alveopalatal fricative & voiced and voiceless uvular fricative,ɕ χ ʑ r ʁ,Phonemic transcription,phonemic,,,r & ɕ & ʑ & χ & ʁ,NA,56,NA,0,56,,NA,no orthography given ,As in many languages of the Tibetan area_ the /r/ is a trilled retroflex voiced fricative [ɽ͡ʐ ] in onset position_ sometimes realized as a simple voiced fricative [ʐ].,the phoneme /ɽ̞/ should be used.
